0	300.15	301.48	1005	94	8.2
0.98	299.82	299.82	1004	90	5.81
0.74	299.82	300.93	1003	86	8.94
0.84	299.82	300.93	1003	88	8.49
1.06	299.26	300.93	1003	90	7.15
0.91	299.82	300.93	1003	88	8.49
3.73	299.82	301.48	1003	85	8.49
1.72	299.82	301.48	1003	83	8.05
0.85	300.93	301.48	1004	88	10.73
1.4	299.82	300.93	1004	83	9.83
1.2	300.93	302.04	1004	82	7.6
1.36	302.04	303.15	1004	83	9.39
0.82	301.48	303.71	1004	86	9.39
0	299.26	302.59	1004	88	10.3
0	300.15	302.04	1003	83	8.7
1.67	299.82	300.93	1003	83	6.71
1.79	299.26	300.93	1003	90	2.68
0	300.15	300.37	1003	88	8.2
0	299.26	300.15	1003	83	7.2
0	299.26	300.15	1004	88	5.7
0.76	299.82	300.37	1004	86	5.36
0.68	299.82	300.37	1004	87	6.71
0.49	299.26	300.37	1005	85	4.92
0.46	299.82	300.37	1006	85	5.36
0.56	299.82	300.93	1005	88	5.81
1.41	299.26	300.93	1005	90	5.36
0	298.71	300.15	1004	88	5.1
0	299.26	300.15	1004	88	4.6
3.73	299.26	299.82	1003	93	2.68
9.65	298.15	299.82	1003	90	2.68
3.86	298.71	299.82	1003	94	3.13
1.5	298.71	299.82	1003	92	1.79
1.8	298.71	299.82	1004	92	1.34
2.61	300.37	300.93	1004	92	3.58
0.99	299.82	302.04	1004	90	4.92
1.26	300.37	302.04	1005	91	3.58
1.59	300.93	301.48	1005	88	4.92
2.32	301.48	303.15	1004	85	5.36
0	301.48	304.15	1004	70	5.7
1.76	300.93	303.15	1003	81	5.36
0	300.93	304.15	1003	66	6.7
0	300.93	303.15	1003	74	6.7
1	300.37	300.93	1003	83	5.36
0	299.82	300.93	1003	85	5.36
	0.25	299.26	300.93	1003	92	5.36
0.49	299.82	300.93	1004	88	5.81
0.82	299.26	300.93	1005	91	7.6
1.29	299.26	300.93	1005	91	6.26
1.21	298.71	300.93	1004	94	5.36
1.33	298.15	299.26	1004	94	3.13
1.7	298.15	299.26	1004	94	1.79
1.84	298.15	299.82	1003	95	4.05
0.51	298.15	298.71	1003	96	3.46
0.9	298.15	298.71	1003	97	2.8
1.55	298.71	299.26	1003	96	3.42
0	298.71	299.15	1003	94	4.1
0	299.82	300.15	1003	88	3.1
1.13	298.71	299.82	1004	95	3.69
2.29	299.82	299.82	1004	94	4.02
1.99	300.37	300.93	1004	88	3.13
0	302.04	303.15	1004	74	3.1
1.08	298.15	302.04	1004	96	2.24
0	298.15	299.15	1003	94	1.5
0	298.71	299.26	1003	94	2.6
0	299.26	300.93	1002	94	3.1
0	300.15	300.37	1002	88	3.6
0	300.93	301.15	1002	83	4.1
0	300.93	301.15	1002	83	3.1
0	300.37	301.15	1002	83	3.6
0	298.71	300.15	1003	83	3.1
0	298.71	300.15	1004	88	4.6
0	299.82	300.15	1004	88	4.6
